date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:18	2350/2350	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202019%2008:55:15%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-desktop.min.js?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-desktop.minacec.js	(from https://www.mzcxla.com/)
01:55:18	46274/46274	---MC-	200	added ('OK')	text/javascript	date:Tue,%2021%20May%202019%2023:53:44%20GMT	https://ssl.google-analytics.com/ga.js	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/ssl.google-analytics.com/ga.js	(from https://www.mzcxla.com/)
01:55:20	50326/50326	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Dec%202014%2011:40:28%20GMT	http://d32hwlnfiv2gyn.cloudfront.net/sp-2.0.0-dm-0.1.min.js	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/d32hwlnfiv2gyn.cloudfront.net/sp-2.0.0-dm-0.1.min.js	(from https://www.mzcxla.com/)
01:55:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Jun%202019%2008:55:20%20GMT	http://www.mzcxla.com/robots.txt		(from https://www.mzcxla.com/)
01:55:21	2391/2391	---MCZ	200	added ('OK')	application/javascript	etag:W/%22957-xqUr0j2ncaRO0s0ohKrTDJH6Y0U%22	https://cdn.jsdelivr.net/npm/lozad/dist/lozad.min.js	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/cdn.jsdelivr.net/npm/lozad/dist/lozad.min.js	(from https://www.mzcxla.com/)
01:55:22	48207/48207	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:21%20GMT	https://www.mzcxla.com/_dm/s/rt/widgets_css?widgets=IMAGE,MULTI_LANG,SOCIAL,PHOTO_GALLERY&v=2019-06-06T09_19_38&device=desktop	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/widgets_css5d82.css	(from https://www.mzcxla.com/summary)
01:55:23	538699/538699	---M--	200	added ('OK')	image/jpeg	etag:%22970c67ce6b382c78761fa563ebb9329f%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	(from https://www.mzcxla.com/summary)
01:55:23	538699/538699	---M--	200	added ('OK')	image/jpeg	etag:%22970c67ce6b382c78761fa563ebb9329f%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/desktop/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/desktop/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	(from https://www.mzcxla.com/summary)
01:55:23	1075938/1075938	---M--	200	added ('OK')	image/jpeg	etag:%22490f3bbe2fb0834601a30fffa57378f6%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/background/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/background/--n52jA1RonsB4Ac0FHs4GbbLTclfAl9qEBHljmMqVk.jpg	(from https://www.mzcxla.com/summary)
01:55:24	48207/48207	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:23%20GMT	https://www.mzcxla.com/_dm/s/rt/widgets_css?widgets=SOCIAL,IMAGE,MULTI_LANG,PHOTO_GALLERY&v=2019-06-06T09_19_38&device=desktop	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/widgets_css94c0.css	(from https://www.mzcxla.com/social)
01:55:24	10575/10575	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:24%20GMT	https://www.mzcxla.com/_dm/s/rt/widgets_css?widgets=SOCIAL,IMAGE,MULTI_LANG&v=2019-06-06T09_19_38&device=desktop	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/widgets_css0704.css	(from https://www.mzcxla.com/location-karakuri)
01:55:26	660704/660704	---M--	200	added ('OK')	image/png	etag:%229e05c7232277cb9eb290a08ba83d4af9%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/karakuri1.png	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/karakuri1.png	(from https://www.mzcxla.com/location-karakuri)
01:55:26	660704/660704	---M--	200	added ('OK')	image/png	etag:%229e05c7232277cb9eb290a08ba83d4af9%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/desktop/karakuri1.png	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/desktop/karakuri1.png	(from https://www.mzcxla.com/location-karakuri)
